upc,title,release_year,runtime_minutes,director_names,actor_names,studio_name,metadata_source,metadata_status,estimated_value_low_cents,estimated_value_high_cents,value_search_url,review_flags
012236043904,Total Recall,,113,,,Tristar Pictures,"UPCitemdb, Wikipedia",partially_enriched,,,https://duckduckgo.com/?q=site%3Aebay.com%20Total%20Recall%20012236043904%20DVD%20sold,missing_year;missing_director;missing_cast;missing_value
012236044000,Stargate,1994,,,,Lionsgate Home Entertainment,"UPCitemdb, Wikipedia",partially_enriched,,,https://duckduckgo.com/?q=site%3Aebay.com%20Stargate%20012236044000%20DVD%20sold,missing_runtime;missing_director;missing_cast;missing_value
012236044109,Terminator 2: Judgment Day,1995,137,,,Carolco,"UPCitemdb, Wikipedia",enriched,,,https://duckduckgo.com/?q=site%3Aebay.com%20Terminator%202%3A%20Judgment%20Day%20012236044109%20DVD%20sold,missing_director;missing_cast;missing_value
012236044307,Basic Instinct,1992,123,,,KEDUDES,"UPCitemdb, Wikipedia",enriched,,,https://duckduckgo.com/?q=site%3Aebay.com%20Basic%20Instinct%20012236044307%20DVD%20sold,missing_director;missing_cast;missing_value
012236044505,red heat,,,,,Lions Gate/artisan,"UPCitemdb, Wikipedia",partially_enriched,,,https://duckduckgo.com/?q=site%3Aebay.com%20red%20heat%20012236044505%20DVD%20sold,missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236044703,Cutthroat Island,1995,,,,Lions Gate/artisan,"UPCitemdb, Wikipedia",partially_enriched,,,https://duckduckgo.com/?q=site%3Aebay.com%20Cutthroat%20Island%20012236044703%20DVD%20sold,missing_runtime;missing_director;missing_cast;missing_value
012236044802.3,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236044802.3%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236045502,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236045502%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236045809.3,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236045809.3%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236046509,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236046509%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236046608,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236046608%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236046707,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236046707%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236046905,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236046905%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236047001,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236047001%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236047100,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236047100%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236047308,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236047308%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236047407,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236047407%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236047506.3,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236047506.3%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236049005,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236049005%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236049104,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236049104%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236049500,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236049500%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236073703,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236073703%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236076100,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236076100%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236100027,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236100027%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236101673,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236101673%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236101727,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236101727%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236101970,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236101970%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236101987,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236101987%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236103523,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236103523%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236104193,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236104193%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236105138,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236105138%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236105152,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236105152%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236105985,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236105985%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236106371,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236106371%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236109440,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236109440%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236109914,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236109914%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236112785,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236112785%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236114956,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236114956%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236115175,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236115175%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236115472,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236115472%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236115779,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236115779%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236118084,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236118084%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236119708,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236119708%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236119944,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236119944%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236122579,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236122579%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236604778,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236604778%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236607472,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236607472%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012236607489,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012236607489%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012569040120,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012569040120%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012569065826,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012569065826%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012569070820,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012569070820%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012569081628,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012569081628%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012569100121,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012569100121%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012569101326,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012569101326%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012569102927,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012569102927%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012569200227,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012569200227%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012569250826,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012569250826%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012569431829.3,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012569431829.3%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012569505124,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012569505124%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012569505629,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012569505629%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012569506220.3,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20012569506220.3%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
012569512320,The Wizard of Oz,1939,,,,Warner Bros.,"UPCitemdb, Wikipedia",partially_enriched,,,https://duckduckgo.com/?q=site%3Aebay.com%20The%20Wizard%20of%20Oz%20012569512320%20DVD%20sold,missing_runtime;missing_director;missing_cast;missing_value
012569515628.3,Kelly's Heroes,1970,145,,,Warner Home Video,"UPCitemdb, Wikipedia",enriched,,,https://duckduckgo.com/?q=site%3Aebay.com%20Kelly%27s%20Heroes%20012569515628.3%20DVD%20sold,missing_director;missing_cast;missing_value
012569518629.3,Where Eagles Dare (Clint Eastwood Collection),2003,,,,Generic,UPCitemdb,partially_enriched,,,https://duckduckgo.com/?q=site%3Aebay.com%20Where%20Eagles%20Dare%20%28Clint%20Eastwood%20Collection%29%20012569518629.3%20DVD%20sold,missing_runtime;missing_director;missing_cast;missing_value
012569593312.3,Miss Congeniality 2 - Armed and Fabulous,2005,115,,,Warner Bros.,"UPCitemdb, Wikipedia",enriched,,,https://duckduckgo.com/?q=site%3Aebay.com%20Miss%20Congeniality%202%20-%20Armed%20and%20Fabulous%20012569593312.3%20DVD%20sold,missing_director;missing_cast;missing_value
012569740648.3,The Polar Express,1985,,,,SDS,"UPCitemdb, Wikipedia",partially_enriched,,,https://duckduckgo.com/?q=site%3Aebay.com%20The%20Polar%20Express%20012569740648.3%20DVD%20sold,missing_runtime;missing_director;missing_cast;missing_value
012569751002.3,BATMAN BEGINS,2005,,,,Unknown,"UPCitemdb, Wikipedia",partially_enriched,,,https://duckduckgo.com/?q=site%3Aebay.com%20BATMAN%20BEGINS%20012569751002.3%20DVD%20sold,missing_runtime;missing_director;missing_cast;missing_value
013023010598,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20013023010598%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
013023012790,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20013023012790%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
013023034693,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20013023034693%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
013023052093,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20013023052093%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
013131032499,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20013131032499%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
013131072693,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20013131072693%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
013131123494,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20013131123494%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
013131124293,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20013131124293%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
013131125894,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20013131125894%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
013131125993,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20013131125993%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
013131131291,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20013131131291%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
013131132793,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20013131132793%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
013131133295,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20013131133295%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
013131138795,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20013131138795%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
013131140996,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20013131140996%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
013131142297,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20013131142297%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
